transaction_date,area,property_type,bedrooms,size_sqft,price_aed,model_price,discount
2025-10-10,Dubai South,Apartment,0,501.0,359000.0,518000.0,0.306949806949807
2025-01-01,Dubai Hills Estate,Apartment,3,1943.0,2676000.0,3811000.0,0.2978220939385988
2025-04-22,Jumeirah Lake Towers,Apartment,3,1529.0,1530000.0,2176000.0,0.296875
2025-02-16,Jumeirah Village Circle,Apartment,1,728.0,591000.0,829000.0,0.2870928829915561
2025-04-01,Dubai South,Apartment,3,1775.0,1224000.0,1701000.0,0.28042328042328046
2025-06-05,Downtown Dubai,Apartment,2,1317.0,2796000.0,3838000.0,0.27149557060969254
2025-05-16,Arabian Ranches,Apartment,1,865.0,880000.0,1206000.0,0.2703150912106136
2025-08-11,Business Bay,Apartment,3,1590.0,2588000.0,3512000.0,0.2630979498861048
2025-06-15,Jumeirah Village Circle,Apartment,3,1560.0,1334000.0,1788000.0,0.2539149888143176
2025-05-16,Jumeirah Lake Towers,Apartment,0,378.0,401000.0,537000.0,0.25325884543761634
2025-10-12,International City,Townhouse,6,4040.0,1918000.0,2556000.0,0.24960876369327079
2025-10-14,Dubai Hills Estate,Apartment,2,1395.0,2273000.0,3027000.0,0.24909150974562277
2025-04-15,Downtown Dubai,Apartment,0,622.0,1401000.0,1865000.0,0.24879356568364608
2025-06-28,Dubai South,Apartment,3,2040.0,1512000.0,2009000.0,0.2473867595818815
2025-12-10,Jumeirah Village Circle,Apartment,1,873.0,796000.0,1046000.0,0.2390057361376673
2025-08-01,Business Bay,Apartment,1,924.0,1405000.0,1839000.0,0.23599782490483956
2025-10-26,Arabian Ranches,Apartment,3,1869.0,2024000.0,2621000.0,0.22777565814574585
2025-11-14,Jumeirah Lake Towers,Apartment,2,1224.0,1326000.0,1704000.0,0.221830985915493
2025-12-21,Jumeirah Lake Towers,Apartment,2,1316.0,1438000.0,1843000.0,0.2197504069451981
2025-02-28,Jumeirah Village Circle,Apartment,2,1490.0,1323000.0,1693000.0,0.2185469580626107
2025-05-19,International City,Apartment,1,866.0,396000.0,506000.0,0.21739130434782605
2025-08-18,Arabian Ranches,Apartment,2,1347.0,1685000.0,2141000.0,0.21298458664175624
2025-09-08,Jumeirah Village Circle,Apartment,2,1186.0,1167000.0,1468000.0,0.20504087193460485
2025-04-11,Dubai Marina,Apartment,3,1754.0,2821000.0,3540000.0,0.20310734463276836
2025-04-07,Jumeirah Village Circle,Apartment,1,922.0,785000.0,983000.0,0.20142421159715163
2025-12-24,Arabian Ranches,Apartment,3,1780.0,2267000.0,2835000.0,0.20035273368606699
2025-11-21,Dubai South,Apartment,1,978.0,775000.0,968000.0,0.19938016528925617
2025-07-11,Arabian Ranches,Apartment,1,942.0,1267000.0,1571000.0,0.19350732017823047
2025-01-02,Jumeirah Lake Towers,Apartment,1,884.0,975000.0,1208000.0,0.1928807947019867
2025-06-25,Arabian Ranches,Apartment,3,1661.0,2095000.0,2594000.0,0.19236700077101
2025-08-19,Palm Jumeirah,Apartment,1,856.0,2549000.0,3153000.0,0.19156359023152558
2025-10-09,Arabian Ranches,Villa,4,3404.0,4364000.0,5396000.0,0.19125277983691624
2025-05-15,Jumeirah Lake Towers,Apartment,2,1299.0,1549000.0,1915000.0,0.19112271540469972
2025-09-17,Palm Jumeirah,Apartment,3,1715.0,6173000.0,7630000.0,0.190956749672346
2025-12-18,Downtown Dubai,Apartment,2,1314.0,2885000.0,3565000.0,0.19074333800841514
2025-02-12,Dubai South,Apartment,2,1291.0,1033000.0,1274000.0,0.18916797488226056
2025-05-05,Jumeirah Village Circle,Apartment,3,1793.0,1742000.0,2148000.0,0.18901303538175052
2025-06-20,Arabian Ranches,Townhouse,3,2550.0,2734000.0,3371000.0,0.18896469890240286
2025-11-02,Jumeirah Lake Towers,Apartment,2,1157.0,1302000.0,1604000.0,0.1882793017456359
2025-01-28,Dubai Hills Estate,Apartment,1,947.0,1583000.0,1941000.0,0.18444100978876865
2025-10-19,Dubai Marina,Apartment,2,1345.0,2426000.0,2969000.0,0.1828898619063658
2025-01-04,Dubai Hills Estate,Apartment,0,487.0,801000.0,979000.0,0.18181818181818177
2025-11-08,Dubai Marina,Apartment,1,950.0,1649000.0,2013000.0,0.18082463984103325
2025-07-18,Palm Jumeirah,Apartment,0,483.0,1688000.0,2060000.0,0.18058252427184462
2025-09-19,Dubai Marina,Apartment,0,367.0,669000.0,816000.0,0.18014705882352944
2025-06-19,Jumeirah Lake Towers,Apartment,1,933.0,1219000.0,1485000.0,0.17912457912457913
2025-06-08,Jumeirah Lake Towers,Apartment,0,499.0,657000.0,800000.0,0.17874999999999996
2025-09-03,Jumeirah Lake Towers,Apartment,2,1588.0,1786000.0,2174000.0,0.1784728610855566
2025-08-09,Jumeirah Lake Towers,Apartment,0,586.0,687000.0,836000.0,0.1782296650717703
2025-02-03,Business Bay,Apartment,2,1248.0,2113000.0,2569000.0,0.1775009731413001
2025-02-16,International City,Apartment,1,882.0,388000.0,470000.0,0.174468085106383
2025-08-14,Dubai Marina,Apartment,1,769.0,1280000.0,1550000.0,0.17419354838709677
2025-07-21,Business Bay,Apartment,3,1518.0,2902000.0,3514000.0,0.17416050085372792
2025-04-21,Dubai Marina,Apartment,0,499.0,859000.0,1040000.0,0.1740384615384616
2025-11-21,Jumeirah Village Circle,Townhouse,5,3674.0,3564000.0,4300000.0,0.17116279069767437
2025-09-24,Dubai South,Apartment,2,1419.0,1085000.0,1304000.0,0.1679447852760736
2025-12-23,Arabian Ranches,Apartment,1,997.0,1305000.0,1568000.0,0.16772959183673475
2025-11-05,Jumeirah Village Circle,Apartment,1,1000.0,1019000.0,1223000.0,0.16680294358135728
2025-03-02,Downtown Dubai,Apartment,3,1776.0,4075000.0,4884000.0,0.16564291564291567
2025-11-11,Dubai Hills Estate,Apartment,3,1531.0,2629000.0,3143000.0,0.16353802099904546
2025-11-09,Downtown Dubai,Apartment,1,766.0,1656000.0,1976000.0,0.16194331983805665
2025-05-24,Downtown Dubai,Apartment,3,1567.0,3405000.0,4058000.0,0.16091670773780187
2025-04-18,Jumeirah Village Circle,Apartment,1,814.0,736000.0,877000.0,0.1607753705815279
2025-12-06,Downtown Dubai,Apartment,2,1255.0,2983000.0,3554000.0,0.16066404051772654
2025-10-03,Arabian Ranches,Apartment,1,623.0,827000.0,985000.0,0.1604060913705584
2025-06-23,Dubai South,Apartment,3,1544.0,1187000.0,1413000.0,0.15994338287331922
2025-04-24,Palm Jumeirah,Apartment,2,1407.0,4429000.0,5271000.0,0.15974198444317966
2025-02-08,Dubai Marina,Apartment,0,484.0,843000.0,1003000.0,0.1595214356929212
2025-05-06,Jumeirah Village Circle,Apartment,0,305.0,311000.0,370000.0,0.1594594594594595
2025-01-02,International City,Apartment,2,1380.0,649000.0,772000.0,0.15932642487046633
2025-09-22,International City,Apartment,3,1770.0,794000.0,944000.0,0.15889830508474578
